path,workflow,bytes,sha256,purpose,imports
scripts/2d/fig01_harmony_umap_nested2d.py,2d,28046,c79ed0dc6b384eadae8c8e6d1e33404373e7aa7efbdfdf5505b6a64811ec7911,"2D multi-sample integration, denoising, optional Harmony batch correction, PCA and UMAP.",__future__;argparse;h5py;harmonypy;json;math;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;sklearn;sys;typing;umap;warnings
scripts/2d/fig02_umap_kde_by_grade_panels.py,2d,22204,9461acbbd221ac82db7564f95ca8a5181cfb4ca5c3dcbca4a4867d5d71323366,2D group-specific UMAP and KDE density panels by differentiation grade.,argparse;h5py;json;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;sklearn;umap;warnings
scripts/2d/fig03_dominant_metabolic_module_umap.py,2d,26750,ccd8940930fa752019de110e44410a537bf2995db966454237802ce8eeb9a37a,2D dominant molecular-module assignment on the integrated UMAP.,argparse;h5py;json;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;sklearn;umap;warnings
scripts/2d/fig04_metabolic_module_feature_mapping.py,2d,25982,44212cddba9c9c0a8c328a6ca86569944c2faa5092ae270048c2b3b693957cc3,2D mapping of individual module scores onto the shared manifold.,argparse;h5py;json;math;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;sklearn;umap;warnings
scripts/2d/fig05_data_overview_heatmap_dotplot_v3_balanced_spacing.py,2d,27058,931ec1faf33b34e4461f4415ec862e2ba5bead7796e5c6c31a16f8890928517f,2D marker heatmap and dot-plot overview.,argparse;h5py;json;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;sklearn;warnings
scripts/2d/fig06_module_enrichment_dynamics_v3_avoid_blank_modules.py,2d,31511,82a0190ce79f6ff293318e08008049062973b129ad60fad47dac0a1b6abcd387,2D module enrichment heatmap and dynamics summaries.,argparse;h5py;json;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;sklearn;warnings
scripts/2d/fig07_metabolic_fingerprint_alluvial_radar_v4_no_text_overlap.py,2d,28222,7447f07c4ec0cb26666fec654e2d34e587f374f1010feb12117e5b3a182ba034,2D radar and alluvial summaries of module fingerprints.,argparse;h5py;json;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;sklearn;warnings
scripts/2d/fig08_circular_cluster_module_heatmap_v7_no_outer_labels_bigplot.py,2d,19166,c5a1f1734b90fb734116b4514240a0ec9913eeeebbb5d7a6ae4737a98a83295a,2D circular clustered marker/module heatmap.,argparse;h5py;json;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;warnings
scripts/2d/fig09_molecular_interaction_chords.py,2d,23192,93b46be4933185d8646ef2712060c50250ee60c5f5342453f4d30f8873e5b789,2D molecular/module correlation chord diagrams.,argparse;collections;h5py;json;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;warnings
scripts/2d/fig10_spatiotemporal_trajectory_metabolic_cascade.py,2d,24049,58136e809e3adff92da85499de68f03ea348d005776faf51bb3a4cbf66b36689,2D computational ordering and feature cascade heatmap.,argparse;collections;h5py;json;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;sklearn;umap;warnings
scripts/2d/fig12_top10_marker_allinone.py,2d,35397,f362f352122412088b075ec097fe44d92af68d7087430f06f0a6c384675983dc,2D top-marker integrated visualization and statistics.,argparse;h5py;json;matplotlib;numpy;pandas;pathlib;re;scipy;shutil;sklearn;warnings
scripts/2d/paper_model_01_2d_HML_classifier.py,2d,26677,bcf06ced9cafdd210bc1953578c3dd33e3ecb257662212890cf7fdbf890d9e8e,Specimen/patient-level exploratory well–moderate–poor differentiation classifier.,argparse;h5py;joblib;json;matplotlib;numpy;pandas;pathlib;re;scipy;sklearn;warnings
scripts/3d/fig01_3d_pca_umap_clean_twopanel_v7.py,3d,29235,cfbbd2425b01e630afe19bc52d87ad63a0bd6166e1538e3d97131f0a8171db20,Primary 3D central-layer integration; exports PCA/UMAP coordinates and robust marker features.,__future__;argparse;h5py;math;matplotlib;numpy;pandas;pathlib;re;scipy;sklearn;typing;umap;warnings
scripts/3d/fig02_3d_umap_pathology_density_drift.py,3d,11354,3c4551588a039b7bb834b320fcfd0b5471dfe81faddb14890860587e9d7a88bc,3D pathology-specific UMAP views and density contours.,__future__;argparse;matplotlib;numpy;pandas;pathlib;scipy
scripts/3d/fig03_3d_dominant_module_umap_flow.py,3d,16352,bacec1396806d689fb041a48088bf57d4d2f0bc7b3199e85365a3ae7d5e47747,3D dominant-module UMAP/flow visualization.,__future__;argparse;matplotlib;numpy;pandas;pathlib;re
scripts/3d/fig04_3d_module_fingerprint_standalone_v3.py,3d,14835,180b1d7a7341dcaaa3b3397a141f0f797e11e94ee983fdf37c3246333e2d23f3,3D module fingerprint summary.,__future__;argparse;matplotlib;numpy;pandas;pathlib;re;scipy
scripts/3d/fig05_3d_true_shap_marker_driver_triptych_v3_clean.py,3d,24418,ffb4ca0d6968c108855e1c8ad43c0f68e14258212ce67e7c1febf1a54f697638,3D supervised feature attribution and SHAP driver visualization.,__future__;argparse;matplotlib;numpy;pandas;pathlib;re;scipy;shap;sklearn;sys
scripts/3d/fig06_3d_module_score_umap_atlas.py,3d,9436,7c7fce53edd7225469b4771de287e97c928178a4f42ad451ec7688ab78c3bf47,3D module-score atlas on the shared UMAP.,__future__;argparse;matplotlib;numpy;pandas;pathlib;re
scripts/3d/fig07_3d_marker_heatmap_dotplot.py,3d,18088,502eb61b45335f27751ef8a808892ccbe9c9b871353382d3e552c358b6c2b794,3D marker-level heatmap and dot plot.,__future__;argparse;matplotlib;numpy;pandas;pathlib;re;scipy;sklearn
scripts/3d/fig08_3d_module_heatmap_dotplot.py,3d,19015,6c0f2db3741eab0b67b79d9881f467e7901ff112e182ad8b82fe77e92dc44b3e,3D module-level heatmap and dot plot.,__future__;argparse;matplotlib;numpy;pandas;pathlib;re;scipy
